vessel;date;fish;catch
33364;03.11.2017;A;3,52
33364;03.11.2017;B;27,233
15424;03.11.2017;F;2,16
15424;03.11.2017;A;7,1
15424;03.11.2017;B;62,76
15424;03.11.2017;K;8
33651;03.11.2017;B;10
16483;03.11.2017;F;0,9
16483;03.11.2017;A;16,407
16483;03.11.2017;B;9,64
16483;03.11.2017;K;20,066
13546;03.11.2017;F;0,63
13546;03.11.2017;A;1,62
13546;03.11.2017;T;0,126
13546;03.11.2017;B;52,4
13546;03.11.2017;K;16,685
66648;03.11.2017;F;1,89
66648;03.11.2017;A;41,31
66648;03.11.2017;B;54
57531;03.11.2017;F;0,666
57531;03.11.2017;A;8,08
57531;03.11.2017;B;74,18
57531;03.11.2017;K;7,08
13483;03.11.2017;F;0,297
13483;03.11.2017;A;12,15
13483;03.11.2017;B;227,88
89431;03.11.2017;D;1,746
89431;03.11.2017;A;96,94
89431;03.11.2017;B;0,08
33364;04.11.2017;H;45,38
33364;04.11.2017;A;0,28
33364;04.11.2017;B;27,007
33364;04.11.2017;K;6,353
15424;04.11.2017;F;6,138
15424;04.11.2017;H;1,298
15424;04.11.2017;B;47,98
15424;04.11.2017;K;25,2
33651;04.11.2017;F;3,24
33651;04.11.2017;B;66,8
33651;04.11.2017;K;10
16483;04.11.2017;F;0,918
16483;04.11.2017;H;10,893
16483;04.11.2017;A;1,32
16483;04.11.2017;B;57,614
16483;04.11.2017;G;0,432
13546;04.11.2017;B;60,445
13264;04.11.2017;H;53,82
13264;04.11.2017;M;3,402
13264;04.11.2017;A;0,57
13264;04.11.2017;B;6,6
13264;04.11.2017;K;1,14
66648;04.11.2017;F;2,025
66648;04.11.2017;A;14,88
66648;04.11.2017;B;87,33
57531;04.11.2017;F;1,458
57531;04.11.2017;A;8,7
57531;04.11.2017;B;109,58
57531;04.11.2017;K;0,12
13483;04.11.2017;H;6,93
13483;04.11.2017;A;2,82
13483;04.11.2017;B;253,05
89431;04.11.2017;D;2,898
89431;04.11.2017;A;21,64
89431;04.11.2017;B;48,64
89431;04.11.2017;K;91,18
33364;05.11.2017;H;70,46
33364;05.11.2017;A;3,36
33364;05.11.2017;B;17,78
33364;05.11.2017;K;40,414
15424;05.11.2017;F;4,32
15424;05.11.2017;H;26,3
15424;05.11.2017;B;45,38
15424;05.11.2017;K;30,188
33651;05.11.2017;F;0,45
33651;05.11.2017;A;5
33651;05.11.2017;B;60,4
33651;05.11.2017;K;37,299
16483;05.11.2017;F;1,026
16483;05.11.2017;H;2,36
16483;05.11.2017;A;9,366
16483;05.11.2017;B;40,36
13546;05.11.2017;F;3,816
13546;05.11.2017;A;5,26
13546;05.11.2017;B;13,68
13546;05.11.2017;K;67,704
13264;05.11.2017;D;0,528
13264;05.11.2017;A;11,43
13264;05.11.2017;B;26,31
66648;05.11.2017;F;0,945
66648;05.11.2017;A;104,13
66648;05.11.2017;T;1,134
57531;05.11.2017;H;4,68
57531;05.11.2017;A;0,58
57531;05.11.2017;B;8,46
57531;05.11.2017;K;24,48
13483;05.11.2017;F;2,565
13483;05.11.2017;H;1,44
13483;05.11.2017;A;16,35
13483;05.11.2017;B;210,78
89431;05.11.2017;D;3,078
89431;05.11.2017;A;15,96
89431;05.11.2017;B;0,12
89431;05.11.2017;K;154,72
33364;06.11.2017;H;58,52
33364;06.11.2017;A;0,74
33364;06.11.2017;B;4,76
33364;06.11.2017;K;59,48
15424;06.11.2017;F;3,204
15424;06.11.2017;H;22,1
15424;06.11.2017;A;23,5
15424;06.11.2017;B;52,06
15424;06.11.2017;K;22,597
33651;06.11.2017;H;60
33651;06.11.2017;A;3,94
33651;06.11.2017;B;22,2
33651;06.11.2017;K;37,584
13546;06.11.2017;H;7,92
13546;06.11.2017;A;1,06
13546;06.11.2017;B;14,76
13546;06.11.2017;K;66,927
13264;06.11.2017;A;54,99
13264;06.11.2017;B;21,36
13264;06.11.2017;K;16,44
66648;06.11.2017;A;67,62
66648;06.11.2017;T;1,35
66648;06.11.2017;B;10,29
66648;06.11.2017;K;15,57
13483;06.11.2017;F;2,835
13483;06.11.2017;A;1,74
13483;06.11.2017;B;237,06
89431;06.11.2017;D;3,024
89431;06.11.2017;A;19,74
89431;06.11.2017;B;60,5
89431;06.11.2017;K;78,06
16483;06.11.2017;F;0,846
16483;06.11.2017;H;2,16
16483;06.11.2017;A;0,2
16483;06.11.2017;B;117,653
16483;06.11.2017;G;0,216
33364;07.11.2017;H;7,72
33364;07.11.2017;A;5,22
33364;07.11.2017;B;10,16
33364;07.11.2017;K;98,393
15424;07.11.2017;F;1,962
15424;07.11.2017;H;24,2
15424;07.11.2017;A;8,48
15424;07.11.2017;B;77,14
15424;07.11.2017;K;9,239
33651;07.11.2017;F;2,25
33651;07.11.2017;H;34,92
33651;07.11.2017;M;4,482
33651;07.11.2017;A;4,76
33651;07.11.2017;B;58,981
33651;07.11.2017;K;6,58
16483;07.11.2017;F;1,746
16483;07.11.2017;H;0,4
16483;07.11.2017;A;8,72
16483;07.11.2017;B;116,42
16483;07.11.2017;K;12,18
16483;07.11.2017;G;0,828
13546;07.11.2017;A;0,7
13546;07.11.2017;B;5,28
13546;07.11.2017;K;84,687
13264;07.11.2017;A;10,11
13264;07.11.2017;B;21,24
13264;07.11.2017;K;64,5
66648;07.11.2017;A;24,66
66648;07.11.2017;B;23,13
66648;07.11.2017;J;0,81
66648;07.11.2017;K;19,5
13483;07.11.2017;F;0,459
13483;07.11.2017;A;4,77
13483;07.11.2017;B;164,34
89431;07.11.2017;D;2,682
89431;07.11.2017;A;16,26
89431;07.11.2017;B;14,42
89431;07.11.2017;K;95,12
33364;08.11.2017;F;0,558
33364;08.11.2017;H;70,24
33364;08.11.2017;A;0,96
33364;08.11.2017;B;8,98
33364;08.11.2017;K;54,014
15424;08.11.2017;F;3,006
15424;08.11.2017;A;10,1
15424;08.11.2017;B;86,22
15424;08.11.2017;K;15,395
33651;08.11.2017;F;2,7
33651;08.11.2017;H;3,02
33651;08.11.2017;A;4,36
33651;08.11.2017;B;52,3
33651;08.11.2017;K;27,8
16483;08.11.2017;F;1,494
16483;08.11.2017;A;4,3
16483;08.11.2017;B;21,2
16483;08.11.2017;K;94,487
16483;08.11.2017;G;0,216
13546;08.11.2017;A;5,4
13546;08.11.2017;B;5,96
13546;08.11.2017;K;68,644
13264;08.11.2017;A;1,44
13264;08.11.2017;B;5,37
13264;08.11.2017;K;73,2
13483;08.11.2017;F;1,539
13483;08.11.2017;A;7,05
13483;08.11.2017;B;54,42
89431;08.11.2017;D;0,9
89431;08.11.2017;A;46,68
89431;08.11.2017;B;15,4
89431;08.11.2017;K;73,38
33364;09.11.2017;F;1,206
33364;09.11.2017;H;41,58
33364;09.11.2017;A;10,34
33364;09.11.2017;B;7,1
33364;09.11.2017;K;69,72
15424;09.11.2017;F;3,042
15424;09.11.2017;H;3,1
15424;09.11.2017;B;93,3
15424;09.11.2017;K;5,58
33651;09.11.2017;H;3,24
33651;09.11.2017;A;5,22
33651;09.11.2017;B;72,94
33651;09.11.2017;K;2,08
16483;09.11.2017;F;0,756
16483;09.11.2017;A;2,74
16483;09.11.2017;B;33,007
16483;09.11.2017;K;68,787
13264;09.11.2017;M;0,135
13264;09.11.2017;A;11,25
13264;09.11.2017;B;38,13
13264;09.11.2017;K;24,96
57531;09.11.2017;A;1,56
57531;09.11.2017;B;22,28
89431;09.11.2017;D;1,386
89431;09.11.2017;A;15,86
89431;09.11.2017;B;46,52
89431;09.11.2017;K;103,2
33364;10.11.2017;H;53,16
33364;10.11.2017;A;4,1
33364;10.11.2017;B;1,28
33364;10.11.2017;K;81,4
15424;10.11.2017;F;2,214
15424;10.11.2017;A;5,02
15424;10.11.2017;B;90,7
15424;10.11.2017;K;3,788
33651;10.11.2017;H;0,52
33651;10.11.2017;A;3,02
33651;10.11.2017;B;68
33651;10.11.2017;K;29,971
16483;10.11.2017;F;0,27
16483;10.11.2017;A;1,84
16483;10.11.2017;B;44,373
16483;10.11.2017;K;72,173
13264;10.11.2017;A;22,53
13264;10.11.2017;B;64,17
57531;10.11.2017;X;4,445
57531;10.11.2017;A;0,98
57531;10.11.2017;T;5,292
57531;10.11.2017;B;93,76
89431;10.11.2017;A;27,82
89431;10.11.2017;B;71,96
89431;10.11.2017;K;75,54
33364;11.11.2017;H;100,653
33364;11.11.2017;A;3,64
33364;11.11.2017;B;34,26
33364;11.11.2017;K;2,8
15424;11.11.2017;F;1,8
15424;11.11.2017;H;1,04
15424;11.11.2017;A;6,1
15424;11.11.2017;B;60,04
15424;11.11.2017;K;1,877
33651;11.11.2017;A;1,38
33651;11.11.2017;B;80,9
33651;11.11.2017;K;7,82
16483;11.11.2017;F;1,17
16483;11.11.2017;A;10,54
16483;11.11.2017;B;59,134
16483;11.11.2017;K;0,94
16483;11.11.2017;G;0,234
13264;11.11.2017;A;9,39
13264;11.11.2017;B;65,49
66648;11.11.2017;A;0,72
66648;11.11.2017;B;4,8
57531;11.11.2017;X;5,556
57531;11.11.2017;A;1,04
57531;11.11.2017;T;3,978
57531;11.11.2017;B;94,98
89431;11.11.2017;A;6,1
89431;11.11.2017;B;81,9
89431;11.11.2017;K;103,7
33364;12.11.2017;F;0,864
33364;12.11.2017;H;63,4
33364;12.11.2017;A;3,58
33364;12.11.2017;B;16
33364;12.11.2017;K;34,333
15424;12.11.2017;F;2,484
15424;12.11.2017;A;7,48
15424;12.11.2017;B;113,08
33651;12.11.2017;B;123,1
16483;12.11.2017;F;1,206
16483;12.11.2017;A;0,6
16483;12.11.2017;B;108,5
16483;12.11.2017;G;0,162
13546;12.11.2017;B;30
13264;12.11.2017;A;1,98
13264;12.11.2017;B;65,64
66648;12.11.2017;A;1,26
66648;12.11.2017;B;44,85
66648;12.11.2017;J;0,891
57531;12.11.2017;X;6,667
57531;12.11.2017;A;13,84
57531;12.11.2017;T;0,486
57531;12.11.2017;B;108,32
89431;12.11.2017;A;9,28
89431;12.11.2017;B;41,14
89431;12.11.2017;K;137,48
33364;13.11.2017;A;48,02
33364;13.11.2017;B;1,72
33364;13.11.2017;K;61,614
15424;13.11.2017;F;1,8
15424;13.11.2017;A;1,86
15424;13.11.2017;B;81,34
33651;13.11.2017;B;100,1
16483;13.11.2017;F;0,288
16483;13.11.2017;A;3,374
16483;13.11.2017;B;105,413
16483;13.11.2017;G;0,144
13546;13.11.2017;H;38,54
13546;13.11.2017;A;4,26
13546;13.11.2017;B;14,66
13546;13.11.2017;K;13,207
66648;13.11.2017;A;5,79
66648;13.11.2017;J;0,108
57531;13.11.2017;X;6,667
57531;13.11.2017;A;2,02
57531;13.11.2017;T;4,104
57531;13.11.2017;B;95,82
89431;13.11.2017;F;0,234
89431;13.11.2017;A;28,54
89431;13.11.2017;B;14,82
89431;13.11.2017;K;109,18
33364;14.11.2017;A;82,16
33364;14.11.2017;B;6,7
33364;14.11.2017;K;52,68
15424;14.11.2017;F;1,8
15424;14.11.2017;H;19,28
15424;14.11.2017;B;47,72
15424;14.11.2017;K;2,209
33651;14.11.2017;B;81
33651;14.11.2017;G;0,126
16483;14.11.2017;A;7,16
16483;14.11.2017;B;22,594
16483;14.11.2017;K;62,72
13546;14.11.2017;H;70
13546;14.11.2017;K;0,667
66648;14.11.2017;F;0,81
66648;14.11.2017;A;39,6
57531;14.11.2017;A;2,52
57531;14.11.2017;B;77,48
89431;14.11.2017;A;69,84
89431;14.11.2017;B;16,22
89431;14.11.2017;K;43,26
33364;15.11.2017;A;3,16
33364;15.11.2017;B;20,88
33364;15.11.2017;K;121,927
15424;15.11.2017;F;1,836
15424;15.11.2017;H;6,4
15424;15.11.2017;A;4,52
15424;15.11.2017;B;57,14
15424;15.11.2017;K;20,12
33651;15.11.2017;H;60
33651;15.11.2017;B;25,4
33651;15.11.2017;K;6,567
16483;15.11.2017;A;9,68
16483;15.11.2017;B;17,3
16483;15.11.2017;K;132,827
13546;15.11.2017;H;65
13546;15.11.2017;K;0,666
66648;15.11.2017;F;1,701
66648;15.11.2017;A;5,07
66648;15.11.2017;B;31,02
66648;15.11.2017;K;49,8
57531;15.11.2017;H;2,7
57531;15.11.2017;A;2,08
57531;15.11.2017;T;0,99
57531;15.11.2017;B;44,12
57531;15.11.2017;K;31,031
89431;15.11.2017;A;47,56
89431;15.11.2017;B;16,52
89431;15.11.2017;K;95,78
33364;16.11.2017;A;4,4
33364;16.11.2017;B;30,92
33364;16.11.2017;K;86,386
15424;16.11.2017;H;21,86
15424;16.11.2017;A;3,6
15424;16.11.2017;B;35,9
15424;16.11.2017;K;50,014
33651;16.11.2017;H;30
33651;16.11.2017;A;7
33651;16.11.2017;B;73
16483;16.11.2017;A;5,42
16483;16.11.2017;B;23,7
16483;16.11.2017;K;124,467
13264;16.11.2017;A;6,66
13264;16.11.2017;B;83,4
66648;16.11.2017;F;1,89
66648;16.11.2017;A;23,85
66648;16.11.2017;B;21,3
66648;16.11.2017;K;49,8
57531;16.11.2017;H;5,76
57531;16.11.2017;A;10,46
57531;16.11.2017;T;2,34
57531;16.11.2017;B;39,6
57531;16.11.2017;K;43,68
13546;16.11.2017;H;18,24
13546;16.11.2017;A;1,22
13546;16.11.2017;B;20,46
13546;16.11.2017;K;42,525
33364;17.11.2017;A;16,46
33364;17.11.2017;B;11,5
33364;17.11.2017;K;111,847
15424;17.11.2017;H;39,08
15424;17.11.2017;B;12,08
15424;17.11.2017;K;54,855
33651;17.11.2017;F;1,53
33651;17.11.2017;H;28,2
33651;17.11.2017;B;52,42
33651;17.11.2017;K;28,695
33651;17.11.2017;G;0,432
16483;17.11.2017;A;2
16483;17.11.2017;B;11,966
16483;17.11.2017;K;149,227
13546;17.11.2017;B;12,74
13546;17.11.2017;K;77,926
13264;17.11.2017;A;2,25
13264;17.11.2017;B;93,84
66648;17.11.2017;F;0,81
66648;17.11.2017;D;0,594
66648;17.11.2017;A;69,45
66648;17.11.2017;B;3
66648;17.11.2017;K;1,68
57531;17.11.2017;H;4,62
57531;17.11.2017;T;0,666
57531;17.11.2017;B;55,88
57531;17.11.2017;K;28,84
33364;18.11.2017;A;28,58
33364;18.11.2017;B;12,82
33364;18.11.2017;K;93,407
15424;18.11.2017;H;15
15424;18.11.2017;B;23
15424;18.11.2017;K;43,656
33651;18.11.2017;H;93,6
33651;18.11.2017;B;22,46
16483;18.11.2017;D;2,16
16483;18.11.2017;A;11,96
16483;18.11.2017;B;32,08
16483;18.11.2017;K;97,266
13546;18.11.2017;B;30,26
13546;18.11.2017;K;60,407
13264;18.11.2017;A;2,4
13264;18.11.2017;B;86,67
66648;18.11.2017;D;1,674
66648;18.11.2017;A;21,9
66648;18.11.2017;B;16,2
66648;18.11.2017;K;47,49
57531;18.11.2017;A;1,72
57531;18.11.2017;T;2,016
57531;18.11.2017;B;111,28
33364;19.11.2017;A;1,2
33364;19.11.2017;B;18,4
33364;19.11.2017;K;104,9
15424;19.11.2017;F;2,988
15424;19.11.2017;H;48,18
15424;19.11.2017;A;3,4
15424;19.11.2017;B;52,16
15424;19.11.2017;K;9,469
33651;19.11.2017;H;118,2
33651;19.11.2017;A;12
16483;19.11.2017;D;1,242
16483;19.11.2017;A;16,34
16483;19.11.2017;B;18,887
16483;19.11.2017;K;43,7
13546;19.11.2017;A;45
13546;19.11.2017;B;13
13546;19.11.2017;K;35,667
13264;19.11.2017;F;1,188
13264;19.11.2017;A;1,26
13264;19.11.2017;B;32,85
13264;19.11.2017;K;21,18
66648;19.11.2017;D;1,971
66648;19.11.2017;A;97,8
66648;19.11.2017;K;1,2
57531;19.11.2017;A;0,88
57531;19.11.2017;T;2,07
57531;19.11.2017;B;111,02
57531;19.11.2017;K;1,12
33364;20.11.2017;B;31,92
33364;20.11.2017;K;94,107
15424;20.11.2017;B;55,16
33651;20.11.2017;H;90,1
33651;20.11.2017;B;50
13546;20.11.2017;A;20,34
13546;20.11.2017;B;15
13546;20.11.2017;K;56,327
13264;20.11.2017;F;0,513
13264;20.11.2017;H;3,18
13264;20.11.2017;A;1,38
13264;20.11.2017;B;80,46
13264;20.11.2017;K;1,65
66648;20.11.2017;D;1,35
66648;20.11.2017;A;103,05
57531;20.11.2017;A;1,06
57531;20.11.2017;T;1,998
57531;20.11.2017;B;92,1
57531;20.11.2017;K;4,84
33364;21.11.2017;A;5,46
33364;21.11.2017;B;7,08
33364;21.11.2017;K;62,18
33651;21.11.2017;H;100
33651;21.11.2017;A;16,26
33651;21.11.2017;B;9
13546;21.11.2017;B;29,38
13546;21.11.2017;K;68,286
13264;21.11.2017;H;62,58
13264;21.11.2017;A;1,17
13264;21.11.2017;B;34,44
66648;21.11.2017;A;41,34
66648;21.11.2017;B;25,89
57531;21.11.2017;A;2,28
57531;21.11.2017;T;1,548
57531;21.11.2017;B;46,18
89431;21.11.2017;A;142,18
33651;22.11.2017;A;4,36
33651;22.11.2017;B;105,8
13546;22.11.2017;A;40
13546;22.11.2017;B;7
13546;22.11.2017;K;43,445
13264;22.11.2017;A;20,07
13264;22.11.2017;B;81,21
66648;22.11.2017;F;0,891
66648;22.11.2017;A;17,22
66648;22.11.2017;B;39,3
57531;22.11.2017;A;13,3
57531;22.11.2017;B;81,7
89431;22.11.2017;A;79,62
89431;22.11.2017;B;1,64
33651;23.11.2017;H;100
33651;23.11.2017;B;20
13546;23.11.2017;A;40,38
13546;23.11.2017;B;14,96
13546;23.11.2017;K;39,66
13264;23.11.2017;H;4,41
13264;23.11.2017;A;18,99
13264;23.11.2017;B;57,9
66648;23.11.2017;F;0,27
66648;23.11.2017;H;39,3
66648;23.11.2017;A;8,52
66648;23.11.2017;B;41,64
57531;23.11.2017;H;7,66
57531;23.11.2017;A;7,6
57531;23.11.2017;B;49,9
89431;23.11.2017;A;13,32
89431;23.11.2017;B;19,12
89431;23.11.2017;K;87,1
15424;24.11.2017;F;0,594
15424;24.11.2017;A;13,7
15424;24.11.2017;B;13,72
15424;24.11.2017;K;2
33651;24.11.2017;F;1,368
33651;24.11.2017;H;1,94
33651;24.11.2017;M;1,926
33651;24.11.2017;A;0,4
33651;24.11.2017;B;35,92
16483;24.11.2017;F;0,198
16483;24.11.2017;H;0,96
16483;24.11.2017;A;2,4
16483;24.11.2017;B;75,487
16483;24.11.2017;K;28,121
13546;24.11.2017;B;30
13546;24.11.2017;K;65
13264;24.11.2017;F;5,238
13264;24.11.2017;H;16,2
13264;24.11.2017;A;13,32
13264;24.11.2017;B;36,3
66648;24.11.2017;F;0,243
66648;24.11.2017;H;31,2
66648;24.11.2017;A;5,28
66648;24.11.2017;T;0,81
66648;24.11.2017;B;50,28
66648;24.11.2017;K;3,09
57531;24.11.2017;H;30,14
57531;24.11.2017;A;2,34
57531;24.11.2017;B;67,52
89431;24.11.2017;F;1,782
89431;24.11.2017;A;54,06
89431;24.11.2017;B;34,52
89431;24.11.2017;K;26,24
15424;25.11.2017;F;0,792
15424;25.11.2017;A;9,22
15424;25.11.2017;B;18,68
15424;25.11.2017;K;11,32
16483;25.11.2017;F;1,746
16483;25.11.2017;A;2,16
16483;25.11.2017;B;113,653
16483;25.11.2017;K;2,44
13546;25.11.2017;A;20
13546;25.11.2017;B;8,86
13546;25.11.2017;K;61,14
13264;25.11.2017;F;0,918
13264;25.11.2017;H;68,01
13264;25.11.2017;A;4,65
13264;25.11.2017;B;22,14
66648;25.11.2017;F;0,297
66648;25.11.2017;H;67,32
66648;25.11.2017;A;6,3
66648;25.11.2017;B;20,85
57531;25.11.2017;H;19,62
57531;25.11.2017;A;0,34
57531;25.11.2017;B;10,04
89431;25.11.2017;F;0,882
89431;25.11.2017;A;123,28
89431;25.11.2017;B;11,92
89431;25.11.2017;K;4,96
33364;26.11.2017;H;14
33364;26.11.2017;A;3,4
33364;26.11.2017;B;10,54
33364;26.11.2017;K;9,633
15424;26.11.2017;A;68,12
16483;26.11.2017;F;0,36
16483;26.11.2017;A;2,08
16483;26.11.2017;T;0,594
16483;26.11.2017;B;105,054
16483;26.11.2017;K;3,3
33364;31.12.2017;A;8,54
33364;31.12.2017;B;87,407
15424;31.12.2017;A;29,94
15424;31.12.2017;B;60,06
33651;31.12.2017;B;80
16483;31.12.2017;F;1,584
16483;31.12.2017;A;14,2
16483;31.12.2017;B;64,773
13264;31.12.2017;A;1,53
13264;31.12.2017;B;76,77
66648;31.12.2017;F;0,729
66648;31.12.2017;A;4,95
66648;31.12.2017;B;32,46
94678;31.05.2017;A;0,15
94678;31.05.2017;B;2,691
94678;01.06.2017;A;2,25
94678;01.06.2017;B;2,73
94678;03.06.2017;B;0,507
